id;gum;es
7255;¿Chi purukuntrera kungrekasiunyu metrap pera aship pѳntrapelan ashiptѳ pѳntrѳntrap isuntrap upishachelan? (1 Pedrѳ 5:14);¿Por qué desean los ancianos pastorear el rebaño, y qué puede ayudarlos? (1 Pedro 5:14)
7256;¿Chintimpa murik kѳpsrueira upishachelan ashiptѳ pѳntramik?;¿Por qué puede ser difícil para los ancianos pastorear a sus hermanos?
7257;Kungrekasiunyu metrap pera aship pѳntrapelѳpe upishachelan ashiptѳ pѳntrai;Ancianos, pastoreen el rebaño
7258;¿Namui mantrau umpukutri untarantrappe chi maramik kѳ?;¿Qué implica amar intensamente desde el corazón?
7259;¿Manatre untak kenamarmuik kѳ Pedrѳpe? (Pisikwankucha ash)¿Chi purukuntrera tap untakwan kenamaramik? (1 Pedrѳ 1:22);¿Qué nos ayuda a demostrar cariño fraternal sin hipocresía? (1 Pedro 1:22)
7260;¿Misakmeran kѳrik kui inchimѳntrai chi purukuntrera? (1 Pedrѳ 3:15);¿Qué nos ayudará a superar el temor a los demás? (1 Pedro 3:15)
7261;¿Misakmera kѳrik kui inchip pasraikpe namune chi puraintreira?;¿Cómo puede afectarnos el temor a los demás?
7262;Misakmeran kѳrik kui inchimѳta;Superar el temor a los demás
7263;¿Chi purukuntrera namun srape kualѳmwan tsѳntatѳ muniramik? (2 Pedrѳ 3:8, 9);¿Qué nos ayudará a esperar con paciencia el fin? (2 Pedro 3:8, 9)
7264;Tap ashiptѳ munirap melѳkun;Mantenerse a la expectativa
7265;¿Chintimpa tap nepua ashchap intamik kѳ Pedrѳ pѳrilan?;¿Por qué debemos estudiar las cartas de Pedro?
7266;¿pedrѳ kenamarikpe chi kusrenana?¿pakatѳ cartasmera pedrѳ pѳrikpe namun chi kusrenana?;¿qué lecciones nos enseñan las dos cartas de pedro?
7267;¿pedrѳ kenamarikpe chi kusrenana?;¿qué lecciones aprendemos del ejemplo de pedro?
7268;¿pedrѳne metraptѳ kullaaramѳ intrai chi purukuik kѳ?;¿qué ayudó a pedro a no rendirse y seguir adelante?
7269;¿Mateѳ 6:33 ciertѳn kuikpe Pedrѳnpa Hѳrstwanpa purayaikwan mantѳ kenamara?;¿Cómo muestran las experiencias de Pedro y de Horst que Mateo 6:33 se cumple siempre?
7270;¿Kungrekasiunyu metrap pera aship pѳntrapelѳ kullaaraik pѳntrapelan mantѳ purukuntreira?;¿Cómo pueden los pastores animar con cariño a los que están desanimados?
7271;¿Pedrѳ kenamarikpe namune mantѳ purukupik kѳ treeku kѳpen kullaatѳ pѳntrapelan?;¿Cómo nos ayuda el ejemplo de Pedro si llevamos tiempo luchando con la misma debilidad?
7272;Namun chi kusrenana;Lecciones para nosotros
7273;¿Jesúspe Pedrѳn mantѳ kenamarik kѳ Jeupape nune lelachimѳntrap kui?;¿Cómo le garantizó Jesús a Pedro que Jehová lo cuidaría?
7274;Pedrѳne metraptѳ kullaaramѳ intrai chi purukuik kѳ?;¿qué ayudó a pedro a seguir adelante?
7275;¿Antiѳquíasrѳ Pedrѳpe chiyu kalѳ marik kѳ?;¿Qué grave error cometió Pedro en Antioquía?
7276;Jesús katѳle ѳsirawa, ¿Pedrѳn chi tapelѳ martrain tranik kѳ?;Después de resucitar, ¿qué oportunidad le dio Jesús a Pedro?
7277;) ¿Pedrѳ nuimpurap chi isua pasraik kѳ? 2) ¿Jesús mantѳ purukuik kѳ tap mѳrѳrantrai? (Lucas 5:510);¿Cómo se describió Pedro a sí mismo, y cómo lo tranquilizó Jesús? (Lucas 5:510)
7278;Pedrѳ chiyukѳpen mur trantra latrѳ tapelѳ utik;Las luchas y bendiciones de pedro
7279;¿Jeupa marampurap mariktѳka Pedrѳn peskau nu kekѳtrѳpen chi marik kѳ?;¿Cómo reaccionó Pedro al pescar muchísimos peces de forma milagrosa?
7280;Pedrѳ latawai metraptѳ amkun;Como pedro, sigamos adelante
7281;¿mѳskalѳpe mantѳ purukuntreira urekmera tammaytѳ lѳtapelѳ kѳntrai?;¿qué pueden hacer los padres para ayudar a sus hijos a defender su fe con apacibilidad?
7282;¿Namui kѳreilaimpurap waminchen tammaytѳ waminchai chi purukuntreira?;¿Qué nos puede motivar a ser apacibles a la hora de defender nuestras creencias?
7283;Cѳlѳsenses 4:6, ¿taimpala chi mas nuik kѳ?;Según Colosenses 4:6 ¿a qué debemos darle importancia?
7284;¿Yaumpuilѳ mayѳrwai putramisra paimuatѳ tamarikpe lѳtamik mantѳ purukuntreira?;¿Cómo pueden ayudar a los jóvenes las sesiones de práctica?
7285;¿Niallpe mantѳ kenamarik kѳ jwѳrg yu kan lincha kusrepikwan Jeupawaiwan wamichipelaimpurap tap kѳmѳtik isupik kuikwan nѳ yunѳmartrai?;¿Cómo usó Niall jworg para ayudar a un compañero que tenía una idea equivocada sobre los Testigos?
7286;¿Kan misak Tiuswan kѳremíik kur chipen mantѳ purukuntrera?;¿Cómo se puede ayudar a alguien que dice que creer en Dios es ridículo?
7287;¿Nam kѳreikwan waminchene chi purukuntrera tammay waminchai? (1 Pedrѳ 3:15);¿Qué nos puede ayudar a reaccionar bien cuando nos pregunten sobre nuestras creencias? (1 Pedro 3:15)
7288;¿Latrѳ tap inchipik tѳka ashatѳ marѳpik kui Gedeónpe mantѳ kenamarik kѳ?;¿Cómo demostró Gedeón que era perspicaz y apacible?
7289;¿Waminchip putrainuk tap kѳmѳtik pupen Bibliayukutri versículѳsmera isua tѳkakuikpe mantѳ purukuntreira? (Prѳverbiѳs 15:1, 18);Cuando surgen situaciones tensas, ¿cómo nos puede ayudar saber de memoria algunos textos bíblicos? (Proverbios 15:1, 18)
7290;¿Tiuspa wamintikpe latrѳ tap inchipik tѳkakѳntrai mantѳ purukupik kѳ?;¿Cómo nos ayuda la oración a ser más apacibles?
7291;¿Isaacwaimpurap kenamarinuk chi kusrentrap?;¿Qué aprendemos del ejemplo de Isaac?
7292;¿Latrѳ tap inchipik tѳkakuikpe chincha mur pasrѳntrai purukupik kѳ? (2 Timѳteѳ 2:24, 25);¿Por qué decimos que las personas apacibles en realidad son fuertes? (2 Timoteo 2:24, 25)
7293;¿nam mantѳ latrѳ tap inchipikwan tѳkakѳntrap?;Cómo desarrollar la apacibilidad
7294;Latrѳ tap inchipikwan tѳka mur pasrѳntrap inchi;Si somos apacibles, somos fuertes
7295;Jѳsíaswaimpurap?;josías
7296;Uzíaswaimpurap?;uzías
7297;¿Bibliayu chi purayailѳ kenamara ñui ѳsik uninuk tap intraptik kui? (Pisikwankucha ash);¿Qué ejemplos bíblicos demuestran que nos puede ir bien en la vida? (Mira también la imagen)
7298;¿Jehѳás, Uzíaspa Jѳsíaswaimpurappa chi kusreku?;¿Qué nos enseñan las historias de tres reyes de Judá?
7299;Ñim urektѳ misak ñimui ѳsik uninuk tap intrun;Joven, te puede ir bien en la vida
7300;¿Chi purukuik kѳ Jѳsíaswan Jeupawainukkutri tarѳmisrmѳntrai? (2 Crónicas 34:?14, 1821);¿Cómo imitan al rey Josías algunos jóvenes?¿Qué ayudó a Josías a servir fielmente a Jehová? (2 Crónicas 34:14, 1821)
7301;¿Urektѳ misak Jѳsías maik marikwan trektѳwai maik mara ashipkѳ?;¿Cómo imitan al rey Josías algunos jóvenes?
7302;¿Ñui ѳsik unikwan Jeupawan tranene ñune mantѳ purukuntrera?;¿Qué efecto tendrá en tu vida dedicarte a Jehová?
7303;Jeupawan lap intrѳ;No dejes de buscar a jehová
7304;¿Nampe kѳtrѳtelѳ kui mantѳ kenamartrap? (Fѳtѳnkucha ash);¿Cuál es la lección? Que no se nos debe olvidar que las cosas buenas que pasan en nuestra vida y en nuestro servicio a Jehová vienen de él
7305;¿Uzíaswan nui ѳsik uninuk maik yaik kѳ?;¿Cómo acabó Uzías?
7306;¿Redes sѳcialesyu kepasrѳp uñape chiwan isua ashiptѳ martrap?;¿Qué deberías tener en cuenta si usas las redes sociales?
7307;¿Mumerai trak linchipik misrtrap? (Fѳtѳnkucha ash);¿Qué amigos deberías elegir? (Mira también la imagen)
7308;¿Jehѳás mumera wamintikwan mѳra marѳp mentik kѳ incha chi trѳmpѳik purayaik kѳ? (2 Crónicas 24:?17, 18);¿A quiénes escuchó Jehoás, y cuál fue el resultado de esta decisión? (2 Crónicas 24:17, 18)
7309;¿Jehѳás maik lѳtik kѳ Sumѳ Sacerdѳte Jehѳiadá karuikwan?;¿Qué hizo Jehoás gracias a la influencia de Jehoiadá?
7310;Tap linchipelѳ lau;Elige bien tus amistades
7311;¿Jehѳás, Uzíaspa Jѳsíaspa chi muriku puraampik kѳ?;¿A qué se enfrentaron Jehoás, Uzías y Josías?
7312;¿urektѳ misak ñimui ѳsik uniktrawa chi martrap?;Joven, ¿cómo quieres que sea tu vida?
7313;¿pella marape sansón marikwan nam chi kusrentrap?;¿qué aprendemos de lo que hizo sansón después de cometer un error?
7314;¿Sansónwai purayaikpe namun mantѳ puruku?¿sansón latawai jeupawantѳ kѳrewa pasrapik kui mantѳ kenamartrap?;¿cómo demostramos que confiamos en jehová, tal como hizo sansón?
7315;¿Sansónwai purayaikpe namun mantѳ puruku?;¿Cómo lo ha fortalecido el ejemplo de Sansón?
7316;¿Michaelwan purayaikwan namun chi kusrenana? (Fѳtѳsmerankucha ash);¿Por qué lo anima a usted el ejemplo de Michael? (Vea también las imágenes)
7317;¿Sansónwane chi kalѳ purayaik kѳ inchentѳ Dalilan Sansónpe chincha kѳreik kѳ?;¿Cómo acabó Sansón por confiar en Dalila?
7318;¿Dalilape Sansónwan nѳ maik taikwan martrai mantѳ marik kѳ?;¿Qué hizo Dalila para entrampar a Sansón?
7319;Sansónpe kullaaramuik kѳn;Sansón no se rindió
7320;¿Jeupa purukuntrai nam chi maramik kѳ? (Fѳtѳsmerankucha ash);¿Qué debemos hacer para que Jehová nos ayude? (Vea también las imágenes)
7321;¿Sansón purukutra cha miapen Jeupa mantѳ lѳtik kѳ? Eshkau (Jueces 15:19);¿Cómo respondió Jehová a la petición de Sansón? (Jueces 15:19)
7322;¿Chi tapik kenamara namun trektѳwai Jeupawayelan metrap pasra maramik?;¿Qué ejemplo demuestra la importancia de buscar la guía de Jehová?
7323;¿Jeupa karuikwan marѳp pѳntrѳwape Sansónwaimpurap chi kusrentrap?;¿Cuál es una lección que podemos aprender del relato de Sansón?
7324;¿Jeupawan kѳrewa pasrapik kui Sansónpe mantѳ kenamarik kѳ?;¿Cómo demostró Sansón que confiaba en Jehová?
7325;Sansón jeupawantѳ kѳrewa pasraik kѳn;Sansón confió en jehová
7326;¿Chincha latrѳ tapik kѳ Sansón ѳsik unikwaimpurap nepua asamik?;¿Por qué es bueno que estudiemos la vida de Sansón?
7327;Sansón latawai jeupawantѳ kѳrewa pѳntrѳkun;Apóyese en jehová, tal como lo hizo sansón
7328;¿chimerantѳ kuatsiranѳpelan wepetamik kѳ?;¿qué cargas debemos quitarnos?
7329;¿chiwan srua ampamik kѳ?;¿qué cargas debemos llevar?
7330;¿Chincha tѳr nepua asha kѳ manakatik ѳsik tѳkakѳmikwan utѳntrap kui?;¿Por qué estamos seguros de que ganaremos la carrera por la vida?
7331;Nam lulѳpelѳ lataik kuik kѳppe, ¿chi tѳrtѳ tѳkakѳmik kѳ?;Como corredores, ¿qué debemos tener claro?
7332;¿Kalѳ marikwan Jeupapa chap tamarape chincha truikwan mentra isumumik kѳ?;¿Por qué debemos quitarnos la carga del exceso de culpa?
7333;¿Mѳskalѳpe chi marѳpsrueira nui unѳ tap isua marmupen?;¿Qué puede hacer un padre si su hijo toma una mala decisión?
7334;¿Namasiktѳ mentra muniramѳntrap chi purukuntrera?;¿Qué lo ayudará a no tener expectativas poco realistas?
7335;¿Chinchatre kuatsirapik lataik kѳ namasiktѳ mentra munirapene? (Gálatas 6:4);¿Por qué son una carga pesada las expectativas poco realistas? (Gálatas 6:4)
7336;¿chimerantѳ kuatsiranѳpelan wepetamik kѳ?;Cargas pesadas que debemos quitarnos
7337;¿Yau chikѳpen maramiku ñun chi purukuntrera?;¿Qué lo ayudará a cumplir con su papel en la familia?
7338;¿Yampuelѳ kan kan maramikwane chincha maramik kѳ? (Pisilankucha ash);¿Por qué debemos cumplir con nuestras responsabilidades familiares? (Vea también las imágenes)
7339;¿Jeupawan martrap misrikwan martrap ñune chi purukuntrera? (1 Juan 5:3);¿Qué lo ayudará a cumplir con su dedicación? (1 Juan 5:3)
7340;Gálatas 6:5 taimpala, ¿Cristѳi wentautѳ uñipikpe chiwan srua yamik kѳ? 2) ¿Mѳi chi ashchap, chincha?;Según Gálatas 6:5, ¿qué debe llevar cada cristiano? b) ¿Qué veremos en este artículo, y por qué?
7341;¿Pablѳ chi chintrentik kera namun chiguen tab ambamgaig chigѳben kwatsiiranѳbelanba, [] webetѳgun cha?;¿Qué quiso decir Pablo cuando dijo quitémonos también toda carga?
7342;Nam chikѳpen kuatsik nika pѳntraikwan wepetѳkun;No carguemos más de la cuenta
7343;¿namun chi purukuntrera tammay munirapelѳ kѳntrap?;¿qué nos ayudará a ser más pacientes?
7344;¿chinchatre tapik kѳpik kѳ tammay muniramik?;¿por qué es tan importante la paciencia?
7345;¿tammay muniramik maik kѳ?;¿qué implica ser paciente?
7346;¿Nampe chi martrap pѳntramik kѳ?;¿Qué debemos estar decididos a hacer?
7347;¿Abrahán tammay munirapik kuikwan asha namun chi kusrenana? (Hebreѳs 6:15, pisilankucha ash);¿Qué aprendemos de la paciencia de Abrahán? (Hebreos 6:15, vea también las imágenes)
7348;¿Jesús yu Pirau uñip uras Jeupa latawai tammay munirapik kui mantѳ kenamarik kѳ? (Fѳtѳnkucha ash);¿Cómo imitó Jesús a la perfección la paciencia de su Padre cuando estuvo en la Tierra? (Vea también la imagen)
7349;¿Ciertѳn tammay munirapikpe chi marѳpik kѳ trѳmpѳik pupen?;¿Cómo reacciona alguien paciente ante las pruebas o las dificultades?
7350;¿Tammay munirapelѳ kѳpene mantѳ purukupik kѳ chiyukѳpen tap isua maramik? (Prѳverbiѳs 21:5);¿Cómo nos ayuda la paciencia a la hora de tomar decisiones? (Proverbios 21:5)
7351;¿Katѳkanelѳpa tap amѳnamik tammay munirapik kѳpene chi tapelѳ utѳntrera? (Cѳlѳsenses 3:12, 13);¿Cómo nos ayuda la paciencia a llevarnos bien con los demás? (Colosenses 3:12, 13)
7352;¿chinchatre tapik kѳpik kѳ tammay muniramik?;Por qué es tan importante la paciencia
7353;¿Ciertѳn tammay munirapelѳ kui mantѳ kenamarѳpsrueira?;¿De qué otra manera demostramos que somos pacientes?
7354;¿Ciertѳn tammay munirapikpe chi marѳpik kѳ chikѳpen puraipen?;¿Cómo reacciona alguien paciente cuando se siente provocado?
7355;¿tammay muniramik maik kѳ?;Qué implica ser paciente
7356;¿Chincha ñune linchik kѳpik kѳ tammay munirapelѳpa?;¿Por qué le gusta tratar con personas pacientes?
7357;Chu urastѳkucha tammay munirakun;Seamos siempre pacientes
7358;¿metrapsrѳnkutri biblia chap eshkailan tѳrkantѳ nepua aschap chi palapik kѳ?;¿qué hace falta para estudiar las profecías bíblicas?
7359;¿metrapsrѳnkutri biblia chap eshkailan chincha kusremik kѳ?;¿por qué debemos estudiar las profecías bíblicas?
7360;¿Metrapsrѳnkutri chap eshkailan chiwan kuenta tѳkakѳmik kѳ?;¿Qué debemos reconocer acerca de las profecías bíblicas?
7361;Metrapsrѳnkutri chap eshkailan ashiptѳ melay;Sigamos pendientes de las profecías
7362;¿Sursrik rey aship karup wapiksrѳ Tiuswai misak warapelѳpe chi murelѳyutѳ puraampik kѳ?;¿Qué dificultades han enfrentado los siervos de Dios en los territorios que domina el rey del sur?
7363;¿Nѳrtesrik rey sursrik rey karupelѳpe mѳin kualѳmmerawan mumera kѳ? (Daniel 11:40);¿Quiénes son hoy en día el rey del norte y el rey del sur? (Daniel 11:40)
7364;¿pakatѳ reyes kuayap kѳmne ñipe chu pasrѳku?;Los dos reyes rivales y usted
7365;¿Daniel estatua asikwaimpurap chap eshkaik namun chi kusrenana?;¿Qué verdades importantes nos ayuda a entender esta profecía?
7366;¿Biblia ciertѳnik kui nepua asamik chincha tapik kѳ?;¿Cómo nos beneficia asegurarnos de que la Biblia dice la verdad?
7367;¿Esther kenamarikwan ñipe chi kusreku?;¿Qué le enseña el ejemplo de Esther?
7368;¿Mѳilѳ misakmera chincha kusrepelѳ kѳ metrapsrѳnkutri chap eshkailan, inchentѳ nampe chi maramik kѳ?;¿Por qué estudian las profecías bíblicas algunas personas, pero qué debemos hacer nosotros?
7369;¿Danielwan chi purukuik kѳ metrapsrѳnkuntri chap eshkailan kusrentrap? (Daniel 12:10, fѳtѳnkucha ash);¿Qué ayudó a Daniel a estudiar las profecías? (Daniel 12:10, vea también la foto)
7370;¿Nam Bibliayukutri tѳrkantѳ tѳkakѳmuape chi maramik kѳ?;¿Qué debemos hacer si tenemos dudas, y por qué?
7371;¿Max kenamarik urektelѳpe chi kusrentrap?;¿Qué pueden aprender los jóvenes del ejemplo de Max?
7372;¿Jeupape chincha nui Wamyu metrapsrѳnkutri chap eshkailan pѳrtrainkaruik kera? (Jeremías 29:11, fѳtѳnkucha ash);¿Por qué quiso Jehová que en su Palabra se escribieran profecías? (Jeremías 29:11, vea también la foto)
7373;¿Mѳi chi ashchap?;¿Qué veremos en este artículo?
7374;Metrapsrѳnkutri biblia chap eshkailan asha: nu kusremtik kѳn;Las profecías bíblicas: mucho que aprender
7375;¿chu urastѳkucha jeupawan tarѳmisrmѳ mѳra martrap chi maramik kѳ?;¿qué podemos hacer para ser más leales a jehová?
7376;¿Danielwaimpurap chi mas kusrentrap?;¿Qué más podemos aprender de Daniel?
7377;Danielwaimpurap ka kusrep intrѳ;Sigue aprendiendo de daniel
7378;¿Jeupawaim pulu mas pѳntrѳntrap chi maramik kera?;¿Qué más podemos hacer para fortalecer nuestra amistad con Jehová?
7379;¿Chu urastѳkucha Jeupawan tarѳmisrmѳ mѳra martrap chi maramik kѳ?;¿Qué podemos hacer para ser siempre leales a Jehová?
7380;¿Jeupawainukkutri tarѳmisrmѳ mѳra martrap Danielpe chi marik kera?;¿Qué hizo Daniel para fortalecer su lealtad a Jehová?
7381;Daniel latawai jepawan tarѳmisrmѳ mѳra mar;Sé leal como daniel
7382;¿Kѳrmѳ pѳntrѳpene chi tapik utѳntrera?;¿Qué buenos resultados da ser valiente?
7383;¿Daniel kѳrmѳ pasrѳntrai chi purukuik kera?;¿Qué es posible que ayudara a Daniel a ser valiente?
7384;¿Daniel kѳrmíik kui chiyu kenamarik kѳ?;¿En qué otra ocasión demostró Daniel ser valiente?
7385;Daniel latawai kѳrmѳta;Sé valiente como daniel
7386;¿Jeupape Danielwan maik ashipik kuik kѳ? (Ezequiel 14:14);¿Qué opinión tenía Jehová de Daniel? (Ezequiel 14:14)
7387;¿kan misak tapik kuikwan, mentrakucha miamik kuikwan kanpalatѳ pѳntramik mantѳ purukupik kѳ kungrekasiun umpu?;¿cómo contribuye una persona razonable a la paz de la congregación?
7388;¿namun chikѳpen puraipen mentrakucha isui mѳrmѳntrap chinchatre tapik kѳ?;¿por qué es importante ser razonable cuando las circunstancias cambian?
7389;¿mentrakucha muniramupene chi tapelѳ utѳntrera?;Las ventajas de ser razonables
7390;¿Kungrekasiunyu metrap pera aship pѳntrapelѳpe ampukutri ikutri mentrakucha muniramѳntrap mantѳ marѳpsrueira? (Fѳtѳsmerankucha ash);¿Cómo pueden los ancianos ser razonables con sus compañeros? (Vea también las imágenes)
7391;¿Nam kewa pѳntrainuk Bibliayukutri ciertѳnelan mѳilan kuenta tѳkakѳmik kѳ?;¿Qué principios bíblicos deberían influir en nuestra forma de vestir y de arreglarnos?
7392;¿Katѳkanelѳ marimpurѳ chine cha mѳrmupene chincha tapik kѳ? (1 Cѳrintiѳs 8:9);¿Qué peligro evitamos si respetamos las opiniones de los demás? (1 Corintios 8:9)
7393;Katѳkanelѳ marimpurap chine cha mѳrmukun;¿Qué hizo un matrimonio para enfrentar sus problemas económicos?Respetemos las opiniones de los demás
7394;¿Kan kasharawar chi marik kѳ an tre chikakѳn kualѳmmerayu?;¿Qué hizo un matrimonio para enfrentar sus problemas económicos?
7395;¿Kan kasharawar chi marik kѳ trѳmpѳik pupen?;¿Qué hizo un matrimonio de misioneros para enfrentar dificultades que no esperaban?
7396;Mentrakucha isui mѳrmukun chikѳpen puraipen¿Mentrakucha isui mѳrmѳntrap namun chi purukuntrera chikѳpen puraipen? (Pititѳ pѳrikwankucha ash);¿Qué puede ayudarnos a ser razonables cuando cambian nuestras circunstancias? (Vea también la nota)
7397;¿Chi kenamara Jesús mentrakucha miamíik kui Jeupa lataik?;¿Qué ejemplos demuestran que Jesús es razonable como Jehová?
7398;Kan purayaiktrawa eshkau Jeupa mantѳ tammay kui incha kѳtrѳtik kui;Mencione un ejemplo de la humildad de Jehová y otro de su compasión
7399;Jeupapa jesúspa mentra miamelѳ kѳn;Jehová y jesús son razonables
7400;) ¿Nampe chi tapelѳ tѳkamik kѳ yunѳmarilѳ pupen tap utѳntrap? 2) ¿Ik kusremik pѳrinuk chi ashchap?;¿Qué cualidades nos ayudarán a adaptarnos a los cambios, y qué veremos en este artículo?
7401;¿chi pipkatѳ namun purukuntrera mur pѳntramik?;¿qué cuatro cosas nos ayudarán a mantenernos firmes?
7402;¿nam jeupawan mѳra marmѳntrai kuaimantsikpe chi marѳpik kѳ?;¿qué tácticas utiliza satanás para intentar debilitar nuestra determinación de mantenernos firmes?
7403;¿nam chiyu jeupa martrai karuilan mѳra martrap pѳntramik kѳ?;¿en qué campos debemos obedecer con firmeza las leyes y normas de jehová?
7404;Kѳtrѳntrap kѳmѳ mur pѳntrѳkun;Estemos decididos a mantenernos firmes
7405;¿Bѳbwan purayaikpe namun chi kusrenana? (Fѳtѳsmerankucha ash);¿Qué aprendemos de la experiencia de Bob? (Vea también las imágenes)
7406;¿Tiuswai Wamwan kusrep tsѳntatѳ isumik namun mantѳ purukupik kѳ?;¿Cómo nos ayuda estudiar la Palabra de Dios y meditar en ella?
7407;¿peñmѳ mur pѳntrѳntrap chi maramik kѳ?;¿qué podemos hacer para mantenernos firmes?
7408;¿Chincha mas tapelѳyutѳ utѳ kepasramik kѳ?;¿Por qué no debemos permitir que nada nos distraiga?
7409;¿Chimeran isumѳntrap intamik kѳ?;¿Qué debemos evitar?
7410;¿ Jeupawan adѳramelѳ isuikwan lata isumik chinchatre tap kѳmѳ? (1 Cѳrintiѳs 3:19, 20);¿Por qué es peligrosa la manera de pensar de quienes no sirven a Jehová? (1 Corintios 3:19, 20)
7411;¿Kuaimantsikpe chincha namun pasrarѳnkarupik kѳ?;¿Con qué objetivo utiliza Satanás la persecución?
7412;¿nam jeupawan mѳra marmѳntrai kuaimantsikpe chi marѳpik kѳ?;¿qué tácticas utiliza satanás para debilitar nuestra determinación?
7413;¿ Jeupa martrai karuilan mѳramik chi maramik kѳ?;¿Qué medidas nos ayudarán a obedecer las altas normas morales de Jehová?
7414;¿ Jeupawantѳ adѳrap pѳntramik mantѳ kera? (Apѳcalipsis 4:11);¿Qué implica darle a Jehová devoción exclusiva? (Apocalipsis 4:11)
7415;¿Hechѳs 15:28, 29yu Jeupa namun chi martrain karuik kѳ?;¿Qué leyes nos da Jehová en Hechos 15:28, 29?
7416;¿chiyu kѳtrѳntrap kѳmѳ pѳntramik kѳ?;¿en qué campos debemos ser firmes?
7417;¿nam katѳkanelan namui untakwan kenamaren chi tapelѳ utѳntrera?;¿qué beneficios se obtienen al demostrar amor?
7418;¿namui nuchalan namui untakwan mantѳ kenamartrap?;¿de qué formas demostramos nuestro amor por los hermanos?
7419;¿namui untak jeupawaimpurap nurantrai chi purukuntrera?;¿cómo podemos lograr que crezca nuestro amor por jehová?
7420;¿Nam Jeupa chi martrai munirapik kѳ?;¿Qué desea Jehová que hagamos?
7421;Namui untakwan kenamaren, ¿mun mas purukupik kѳ?;¿Quién más se beneficia cuando mostramos amor?
7422;¿Geѳrgiasrik kan nuchak wamintimpurap chi kusrepra?;¿Qué aprendemos de lo que dijo una hermana de Georgia?
7423;¿nam katѳkanelan namui untakwan kenamaren chi tapelѳ utѳntrera?;Los beneficios de mostrar amor a los demás
7424;¿Christianwan chi purukuik kѳ katѳyu kungrekasiunyu metrap pera aship pasrapik misrtrai?;¿Qué ayudó a Christian a volver a ser anciano?
7425;¿Nam untak kenamaren katѳkanelan maik ashipelѳ kѳ? 2) Prѳverbiѳs 19:17 taimpala, ¿namui untakwan katѳkanelan kenamaren Jeupa maik mѳrѳrai inchipik kѳ?;¿Qué efecto suelen tener nuestras muestras de amor? b) Según Proverbios 19:17, ¿cómo reacciona Jehová cuando demostramos amor al prójimo?
7426;Namui untak katѳkanelaimpurap nurantrai trantrѳkun;Esforcémonos para que crezca nuestro amor por el prójimo
7427;¿ѳración mantѳ purukupik kѳ namui untak Tiuswaimpurap nurantrai?;¿Cómo ayuda la oración a que se desarrolle el amor que sentimos por Dios?
7428;Namui untak jeupawaimpurap nurantrai trantrѳkun;Esforcémonos para que crezca nuestro amor por jehová
7429;¿Ik kusremik pѳrinuk chi ashchap?;¿Qué veremos en este artículo?
7430;¿Ñi Biblian kusrep yaik maitѳ chi kusreik kѳ?;¿Qué cosas aprendió en su curso bíblico?
7431;Namui untakwan nurakun;Que siga creciendo nuestro amor
7432;¿chitѳ marѳpsruku nuchalan mas untak tѳkakѳntrap?;¿qué puede hacer para amar más a sus hermanos?
7433;¿awentawa pasrѳntrap ñiasiktѳ chi maramtik kѳ?;¿qué puede hacer para tener más aguante?
7434;¿Mѳinkutri tamara pѳntrѳpene chi maramtik kѳntrera purѳ trѳmpѳik isumtѳ kualѳmmerayu?;¿Qué podremos hacer durante la gran tribulación si nos preparamos ahora?
7435;Mѳinkutri tamara pasrau;Prepárese ahora
7436;¿Vanessa kenamarikpe nuchalan untak kenamarikwaimpurap asha chi kusreku? (Fѳtѳnkucha ash);¿Qué le enseña sobre el amor a los hermanos el ejemplo de Vanessa? (Vea también la imagen)
7437;Nuchalan mas untarau;Sienta más amor por los hermanos
7438;¿Purѳ trѳmpѳik isumtѳ kualѳmmera pumuatѳ lastima asamikwan kenamarikpe namun mѳmay puruku? (Apѳcalipsis 13:16, 17);¿Por qué nos prepara para la gran tribulación mostrar compasión ahora? (Apocalipsis 13:16, 17)
7439;¿Nam mѳmaytѳ kenamarѳpsrueira lastima asamikwan namui nuchalѳ isumtѳ kualѳmmerayu puraampup kѳpen? (Fѳtѳnkucha ash);¿De qué maneras podemos demostrar nuestra compasión cuando nuestros hermanos pasan por una situación de emergencia? (Vea también la imagen)
7440;Lastima ashchap trantra;Muestre compasión
7441;¿Mira kenamarikwan asha namun mantѳ kenamara mѳya awentawa melaik wentѳsrѳnkucha purukuntrapik kui? (Santiagѳ 1:24, fѳtѳnkucha ash);¿Cómo demuestra el ejemplo de Mira que aguantar en el presente nos ayudará a aguantar en el futuro? (Santiago 1:24, vea también la imagen)
7442;Mur kualѳmmerayu mѳya purep uñmuintѳkucha, ¿mѳinkutri ñi chi kusremik kѳ?;Aunque no esté pasando por una prueba difícil en estos momentos, ¿qué es bueno que aprenda desde ahora?
7443;¿Srѳtѳ siglѳsrѳ Cristѳi wentautѳ ampupelѳ awentawa pѳntrѳntrap chi marik kѳ?;¿Qué hicieron los primeros cristianos para aguantar?
7444;Awentawa pasrѳntrap trantra;Cultive el aguante
7445;¿Awentawa pѳntramik, lastima ashchap, untak tѳkakѳmik chincha ilan tѳkakѳntrap trantramik kѳ purѳ trѳmpѳik isumtѳ kualѳmmera pupen?;¿Por qué necesitamos aguante, compasión y amor para estar preparados para la gran tribulación?
